,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名
20,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,龙岩市,新罗区,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市20例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
21,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,宁德市,,1,1,,,24,2,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市21例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
22,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,宁德市,古田县,1,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市22例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
23,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,宁德市,蕉城区,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市23例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
24,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,厦门市,,3,5,,,28,16,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市24例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
25,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,厦门市,思明区,1,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市25例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
26,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,厦门市,海沧区,,2,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市26例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
27,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,厦门市,集美区,1,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市27例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
28,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,厦门市,湖里区,,1,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市28例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
29,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,厦门市,翔安区,1,2,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市29例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
30,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,莆田市,,4,6,,,51,27,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市30例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
31,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,莆田市,城厢区,4,2,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市31例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
32,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,莆田市,荔城区,,3,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市32例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
33,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,莆田市,仙游县,,1,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市33例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
34,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,莆田市,秀屿区,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市34例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
35,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,漳州市,,,2,,,16,6,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市35例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
36,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,漳州市,东山县,,1,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市36例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
37,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,漳州市,华安县,,1,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市37例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
38,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,漳州市,龙海市,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市38例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
39,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,平潭市,,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市39例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
40,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,平潭市,地区待确定,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0―24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市40例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
